[BPS Process Server][2019-01-12 11:31:24,959][INFO] Server instance simulator start complete 
[BPS Process Server][2019-01-12 11:31:25,063][INFO]  Task resource scheduler model start complete 
[BPS Process Server][2019-01-12 11:31:25,076][INFO] BPS Process Server start up in 3179 ms
[BPS Process Server][2019-01-12 11:31:25,084][INFO] BPS Message Framework is False !
[BPS Process Server][2019-01-12 11:35:23,785][INFO] Start BPS Process Server !
[BPS Process Server][2019-01-12 11:35:24,075][INFO] BPS multi-tenancy mode is false
[BPS Process Server][2019-01-12 11:35:24,075][DEBUG] Initialize BPS Process Server  All Service
[BPS Process Server][2019-01-12 11:35:24,764][DEBUG] Lock Service Type:LOCAL
[BPS Process Server][2019-01-12 11:35:24,829][DEBUG] !!!!Here need be configed
[BPS Process Server][2019-01-12 11:35:24,833][DEBUG] Local LRU size:3000
[BPS Process Server][2019-01-12 11:35:24,836][DEBUG] Using lru instance pool!
[BPS Process Server][2019-01-12 11:35:24,837][DEBUG] Not Load on startup,Load process when needed.
[BPS Process Server][2019-01-12 11:35:24,837][DEBUG] Init agent_from cache ,cluster is :false
[BPS Process Server][2019-01-12 11:35:24,858][DEBUG] TX Monitor:false
[BPS Process Server][2019-01-12 11:35:24,860][DEBUG] SQL Monitor:false
[BPS Process Server][2019-01-12 11:35:24,860][INFO] BPS Cluster Framework is False !
[BPS Process Server][2019-01-12 11:35:25,728][DEBUG] Init Task Message Handler
[BPS Process Server][2019-01-12 11:35:25,746][DEBUG] Setup BPS Process Server History Data
[BPS Process Server][2019-01-12 11:35:25,749][DEBUG] Transportation strategy:NEVER
[BPS Process Server][2019-01-12 11:35:25,786][DEBUG] BPS Timer Service startup . 
[BPS Process Server][2019-01-12 11:35:25,786][DEBUG] Add web service invoke interceptor
[BPS Process Server][2019-01-12 11:35:25,814][INFO] Initialize BPS bizResource module successful . 
[BPS Process Server][2019-01-12 11:35:25,865][INFO] Server instance simulator start complete 
[BPS Process Server][2019-01-12 11:35:25,936][INFO]  Task resource scheduler model start complete 
[BPS Process Server][2019-01-12 11:35:25,944][INFO] BPS Process Server start up in 2200 ms
[BPS Process Server][2019-01-12 11:35:25,948][INFO] BPS Message Framework is False !
[BPS Process Server][2019-01-12 11:38:25,827][INFO] Timer trig first:180000 3000
[BPS Process Server][2019-01-12 16:27:51,261][INFO] Start BPS Process Server !
[BPS Process Server][2019-01-12 16:27:51,567][INFO] BPS multi-tenancy mode is false
[BPS Process Server][2019-01-12 16:27:51,568][DEBUG] Initialize BPS Process Server  All Service
